textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,noon,21-30,Cyprus,1207359,9240,131
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,I love to!,positive,night,31-45,Czechia (Czech Republic),10708981,77240,139
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050,40
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative,noon,60-70,Denmark,5792202,42430,137
c3924dc9e4,:visiting my friendster and facebook,:visiting my friendster and facebook,neutral,night,70-100,Djibouti,988000,23180,43
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative,morning,0-20,Dominica,71986,750,96
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,noon,21-30,Dominican Republic,10847910,4.83E+04,225
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,night,31-45,Ecuador,17643054,248360,71
15d5f3a41b," also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",neutral,morning,46-60,Egypt,102334404,995450,103
3c4a21b2cb, hm... Both of us I guess...,hm... Both of us I guess...,neutral,noon,60-70,El Salvador,6486205,20720,313
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,night,70-100,Equatorial Guinea,1402985,28050,50
d8ba2a99a9, romance zero is funny,romance zero is funny,positive,morning,0-20,Eritrea,3546421,101000,35
e77fd45003, I`d rather do the early run..but I am a morning runner,I`d rather do the early run..but I am a morning runner,neutral,noon,21-30,Estonia,1326535,42390,31
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,will be back later.,neutral,morning,46-60,Ethiopia,114963588,1000000,115
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,noon,60-70,Fiji,896445,18270,49
90f3d2b572, what fun are you speaking of?,what fun are you speaking of?,neutral,night,70-100,Finland,5540720,3.04E+05,18
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative,morning,0-20,France,65273511,547557,119
a4b0888da6, haha yes,haha yes,neutral,noon,21-30,Gabon,2225734,257670,9
2a9765b7f9,I give in to easily,I give in to easily,negative,night,31-45,Gambia,2416668,10120,239
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,morning,46-60,Georgia,3989167,69490,57
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,noon,60-70,Germany,83783942,348560,240
23e1f7dca4,Is at a photoshoot.,Is at a photoshoot.,neutral,night,70-100,Ghana,31072940,227540,137
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,morning,0-20,Greece,10423054,128900,81
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,noon,21-30,Grenada,112523,340,331
fa2654e730,Chilliin,Chilliin,positive,night,31-45,Guatemala,17915568,107160,167
187494c25b," If you know such agent, do let me know","If you know such agent, do let me know",neutral,morning,46-60,Guinea,13132795,2.46E+05,53
4213627c3c,I still smell of smoke  #kitchenfire,I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,better,positive,night,70-100,Guyana,786552,196850,4
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,morning,0-20,Haiti,11402528,27560,414
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,noon,21-30,Holy See,801,0,2003
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,night,31-45,Honduras,9904607,111890,89
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,morning,46-60,Hungary,9660351,90530,107
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",BADDD.,negative,noon,60-70,Iceland,341243,100250,3
b2c9f115b1, My sources say no,My sources say no,neutral,night,70-100,India,1380004385,2973190,464
0a61cbf4b5,I am sooo tired,I am sooo tired,negative,morning,0-20,Indonesia,273523615,1811570,151
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...","Hey, you change your twitter account, and you didn`t even tell me...",neutral,noon,21-30,Iran,83992949,1.63E+06,52
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,Iraq,40222493,434320,93
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,lucky,positive,morning,46-60,Ireland,4937786,68890,72
cb4d439ebc,fell asleep waiting for my ride!,fell asleep waiting for my ride!,neutral,noon,60-70,Israel,8655535,21640,400
64ed512788,Sick. With a flu like thing.,Sick.,negative,night,70-100,Italy,60461826,294140,206
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative,morning,0-20,Jamaica,2961167,10830,273
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,noon,21-30,Japan,126476461,364555,347
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,night,31-45,Jordan,10203134,88780,115
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,morning,46-60,Kazakhstan,18776707,2699700,7
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative,noon,60-70,Kenya,53771296,569140,94
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,positive,night,70-100,Kiribati,119449,8.10E+02,147
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive,morning,0-20,Kuwait,4270571,17820,240
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,_Mounce yes and it lasts way past my bedtime!,neutral,noon,21-30,Kyrgyzstan,6524195,191800,34
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,Hi  how are you doing ???  *just joined twitter...,neutral,night,31-45,Laos,7275560,230800,32
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,tired,negative,morning,46-60,Latvia,1886198,62200,30
b63ed6da62,eating ice cream and then getting ready for graduation.,eating ice cream and then getting ready for graduation.,neutral,noon,60-70,Lebanon,6825445,10230,667
4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive,night,70-100,Lesotho,2142249,30360,71
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative,morning,0-20,Liberia,5057681,96320,53
447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,negative,noon,21-30,Libya,6871292,1759540,4
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,night,31-45,Liechtenstein,38128,160,238
92e1b6846e, We saw that in none 3D - the baddie`s the best,best,positive,morning,46-60,Lithuania,2722289,6.27E+04,43
2207d982bc,4am. And Im on the beach. Pretty,Pretty,positive,noon,60-70,Luxembourg,625978,2590,242
15e01e1749," Certainly not Cheers than, huh?","Certainly not Cheers than, huh?",neutral,night,70-100,Madagascar,27691018,581795,48
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative,morning,0-20,Malawi,19129952,94280,203
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,busy,negative,noon,21-30,Malaysia,32365999,328550,99
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,Awesome.,positive,night,31-45,Maldives,540544,300,1802
327a009a7d,at least I get to watch over time  Let`s go Pens!!,at least I get to watch over time  Let`s go Pens!!,neutral,morning,46-60,Mali,20250833,1220190,17
d0d3c6f298, cool i wear black most of the time when i go out,cool i wear black most of the time when i go out,neutral,noon,60-70,Malta,441543,320,1380
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,thanks,positive,night,70-100,Marshall Islands,59190,180,329
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,safe,positive,morning,0-20,Mauritania,4649658,1030700,5
a05aea73d7," woof, I wish I was allowed to go",I wish I was allowed to go,positive,noon,21-30,Mauritius,1271768,2.03E+03,626
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,night,31-45,Mexico,128932753,1943950,66
f0c1601d8b,  has tickets.......?,has tickets.......?,neutral,morning,46-60,Micronesia,115023,700,164
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you,",positive,noon,60-70,Moldova,4033963,32850,123
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,night,70-100,Monaco,39242,1,26337
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive,morning,0-20,Mongolia,3278290,1553560,2
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,I don`t feel confident,negative,noon,21-30,Montenegro,628066,13450,47
401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative,night,31-45,Morocco,36910560,446300,83
9843c4688e, hahaa your awesomee !,hahaa your awesomee !,positive,morning,46-60,Mozambique,31255435,786380,40
87fbf14655,holy smokes! star trek was freaking awesomeeeee,awesomeeeee,positive,noon,60-70,Myanmar (formerly Burma),54409800,653290,83
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,night,70-100,Namibia,2540905,8.23E+05,3
9d2cffd953," I had it! On my itunes, but then I lost all my songs.","I had it! On my itunes, but then I lost all my songs.",neutral,morning,0-20,Nauru,10824,20,541
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,noon,21-30,Nepal,29136808,143350,203
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Not looking forward,negative,night,31-45,Netherlands,17134872,33720,508
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Poor you,negative,morning,46-60,New Zealand,4822233,263310,18
f0460d611d,not well,not well,negative,noon,60-70,Nicaragua,6624554,120340,55
6649f3558c, Not a prob hun,Not a prob,positive,night,70-100,Niger,24206644,1266700,19
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee","at dads, watching some mtv and am going on sims2 in a minutee",neutral,morning,0-20,Nigeria,206139589,910770,226
8e1583cb08, Absolutely,Absolutely,neutral,noon,21-30,North Korea,25778816,120410,214
4ea61dbc7a, what`s the matter chickadee?,what`s the matter chickadee?,neutral,night,31-45,North Macedonia,2083374,25220,83
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive,morning,46-60,Norway,5421241,3.65E+05,15
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",good,positive,noon,60-70,Oman,5106626,309500,16
974b35f889, =O you need to ask him something? Lmao I love him too,I love him too,positive,night,70-100,Pakistan,220892340,770880,287
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative,morning,0-20,Palau,18094,460,39
504539e6ec, why are you sad?,sad?,negative,noon,21-30,Palestine State,5101414,6020,847
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,night,31-45,Panama,4314767,74340,58
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive,morning,46-60,Papua New Guinea,8947024,452860,20
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,noon,60-70,Paraguay,7132538,397300,18
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.","Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,night,70-100,Peru,32971854,1280000,26
f3cf8ec01b,Humous and Dorito`s.... Oh yes,Humous and Dorito`s.... Oh yes,neutral,morning,0-20,Philippines,109581078,298170,368
cb1b0d191d,"missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative,noon,21-30,Poland,37846611,3.06E+05,124
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,night,31-45,Portugal,10196709,91590,111
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",terrible!,negative,morning,46-60,Qatar,2881053,11610,248
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative,noon,60-70,Romania,19237691,230170,84
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative,night,70-100,Russia,145934462,16376870,9
7e4ed52c4a,Hate fighting,Hate fighting,negative,morning,0-20,Rwanda,12952218,24670,525
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol","I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,noon,21-30,Saint Kitts and Nevis,53199,260,205
48cdcd5f28,Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative,night,31-45,Saint Lucia,183627,610,301
1b1b02af59,Just came 11th in cross country and beat dumbo,Just came 11th in cross country and beat dumbo,neutral,morning,46-60,Saint Vincent and the Grenadines,110940,390,284
ae71041e21,Candle wax is very enjoyable.,enjoyable.,positive,noon,60-70,Samoa,198414,2830,70
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive,night,70-100,San Marino,33931,6.00E+01,566
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,morning,0-20,Sao Tome and Principe,219159,960,228
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morning tweets!!,positive,noon,21-30,Saudi Arabia,34813871,2149690,16
fd285fe74a, me too. I hate my computer so much..,hate,negative,night,31-45,Senegal,16743927,192530,87
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,fine!,positive,morning,46-60,Serbia,8737371,87460,100
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,i don`t like the other ones.,negative,noon,60-70,Seychelles,98347,460,214
b948984e8d,Mmmmmmmm... ? it in the morning,Mmmmmmmm... ? it in the morning,neutral,night,70-100,Sierra Leone,7976983,72180,111
6824c44c21, me neither,me neither,neutral,morning,0-20,Singapore,5850342,700,8358
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah","Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,noon,21-30,Slovakia,5459642,48088,114
5f93cc70ff,Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative,night,31-45,Slovenia,2078938,20140,103
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace","sending love, blessings & healing thoughts to you & family  peace",positive,morning,46-60,Solomon Islands,686884,2.80E+04,25
e4e9b8713a,My back hurts...really bad,.really bad,negative,noon,60-70,Somalia,15893222,627340,25
08975f62a8," ah yes, I know that feeling","ah yes, I know that feeling",neutral,night,70-100,South Africa,59308690,1213090,49
4a1ce7dc3b,Night of the cookers with my dad,Night of the cookers with my dad,neutral,morning,0-20,South Korea,51269185,97230,527
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,brutal,negative,noon,21-30,South Sudan,11193725,610952,18
abbd0db2a5, Nope I am in Coquitlam,Nope I am in Coquitlam,neutral,night,31-45,Spain,46754778,498800,94
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,boring,negative,morning,46-60,Sri Lanka,21413249,62710,341
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive,noon,60-70,Sudan,43849260,1765048,25
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,night,70-100,Suriname,586632,156000,4
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,great,positive,morning,0-20,Sweden,10099265,410340,25
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,excited,positive,noon,21-30,Switzerland,8654622,3.95E+04,219
f3d95b57b1, good morning,good morning,positive,night,31-45,Syria,17500658,183630,95
5e4eac2b2e, its the best show EVER!,its the best show EVER!,positive,morning,46-60,Tajikistan,9537645,139960,68
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,messed,negative,noon,60-70,Tanzania,59734218,885800,67
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,night,70-100,Thailand,69799978,510890,137
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,I want to know when the auditions are Mander! Text or...reply please!,neutral,morning,0-20,Timor-Leste,1318445,14870,89
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,NOT THE SECRET NAMEREBECCA PLEASE,negative,noon,21-30,Togo,8278724,54390,152
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,miss,negative,night,31-45,Tonga,105695,720,147
8d09044937,i need to get my computer fixed,i need to get my computer fixed,neutral,morning,46-60,Trinidad and Tobago,1399488,5130,273
9d3a1e0269,really hopes her car`s illness is not terminal...,illness,negative,noon,60-70,Tunisia,11818619,155360,76
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.","All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,night,70-100,Turkey,84339067,7.70E+05,110
5a254fbb98, no sir...i woulda put honey...but i don`t have any,no sir...i woulda put honey...but i don`t have any,neutral,morning,0-20,Turkmenistan,6031200,469930,13
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,i totally loved it!,positive,noon,21-30,Tuvalu,11792,30,393
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,i <3 you. u helped me thru the hrdest time of my life!,positive,night,31-45,Uganda,45741007,199810,229
8407ac30b0, I`m sad that I missed you guys last night!,sad,negative,morning,46-60,Ukraine,43733762,579320,75
