textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,night,70-100,Finland,5540720,3.04E+05,18
e591a725ef, i still dont know what we would do though,neutral,morning,0-20,France,65273511,547557,119
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,noon,21-30,Gabon,2225734,257670,9
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,night,31-45,Gambia,2416668,10120,239
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,morning,46-60,Georgia,3989167,69490,57
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,noon,60-70,Germany,83783942,348560,240
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,night,70-100,Ghana,31072940,227540,137
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,morning,0-20,Greece,10423054,128900,81
29f805a7d2,Terminator Salvation... by myself.,neutral,noon,21-30,Grenada,112523,340,331
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,night,31-45,Guatemala,17915568,107160,167
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,morning,46-60,Guinea,13132795,2.46E+05,53
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,noon,60-70,Guinea-Bissau,1968001,28120,70
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,night,70-100,Guyana,786552,196850,4
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,morning,0-20,Haiti,11402528,27560,414
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,noon,21-30,Holy See,801,0,2003
972dc5787d,_LaMont yr very young looking dude,positive,night,31-45,Honduras,9904607,111890,89
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,morning,46-60,Hungary,9660351,90530,107
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,noon,60-70,Iceland,341243,100250,3
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,night,70-100,India,1380004385,2973190,464
1e46d72ec6," yep, i wish they were all playing dubiln",positive,morning,0-20,Indonesia,273523615,1811570,151
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,noon,21-30,Iran,83992949,1.63E+06,52
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,night,31-45,Iraq,40222493,434320,93
e6c9e5e3ab, 26th February,neutral,morning,46-60,Ireland,4937786,68890,72
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,noon,60-70,Israel,8655535,21640,400
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,night,70-100,Italy,60461826,294140,206
5d57a5eda2, Thank you!  I`m working on `s,positive,morning,0-20,Jamaica,2961167,10830,273
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,noon,21-30,Japan,126476461,364555,347
c2ea5cb58b,Not feeling all that well today,negative,night,31-45,Jordan,10203134,88780,115
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,morning,46-60,Kazakhstan,18776707,2699700,7
5fc411e8d1,_berland LMAO I know I know,neutral,noon,60-70,Kenya,53771296,569140,94
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,night,70-100,Kiribati,119449,8.10E+02,147
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,morning,0-20,Kuwait,4270571,17820,240
3a98aa4762,Happy Mothers Day!!!,positive,noon,21-30,Kyrgyzstan,6524195,191800,34
886545bbab,"Yes, I am",neutral,night,31-45,Laos,7275560,230800,32
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral,morning,46-60,Latvia,1886198,62200,30
704c53f4cf,Happy star wars day! May the fourth be with you,positive,noon,60-70,Lebanon,6825445,10230,667
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,night,70-100,Lesotho,2142249,30360,71
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,morning,0-20,Liberia,5057681,96320,53
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,noon,21-30,Libya,6871292,1759540,4
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,night,31-45,Liechtenstein,38128,160,238
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive,morning,46-60,Lithuania,2722289,6.27E+04,43
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,noon,60-70,Luxembourg,625978,2590,242
54670ca807,skype call with billie but my webcam dont work,neutral,night,70-100,Madagascar,27691018,581795,48
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,morning,0-20,Malawi,19129952,94280,203
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,noon,21-30,Malaysia,32365999,328550,99
1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral,night,31-45,Maldives,540544,300,1802
990cdeae87, I want to see David cook!!,positive,morning,46-60,Mali,20250833,1220190,17
9a55d83c79, yeh me 2,neutral,noon,60-70,Malta,441543,320,1380
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,night,70-100,Marshall Islands,59190,180,329
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,morning,0-20,Mauritania,4649658,1030700,5
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,noon,21-30,Mauritius,1271768,2.03E+03,626
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,night,31-45,Mexico,128932753,1943950,66
3112944847,ughh on the phone with HP!,neutral,morning,46-60,Micronesia,115023,700,164
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,noon,60-70,Moldova,4033963,32850,123
322546026e, yay about breaking 200!,positive,night,70-100,Monaco,39242,1,26337
e6c154f9be, bahah sadly I am not,negative,morning,0-20,Mongolia,3278290,1553560,2
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,noon,21-30,Montenegro,628066,13450,47
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,night,31-45,Morocco,36910560,446300,83
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,morning,46-60,Mozambique,31255435,786380,40
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,noon,60-70,Myanmar (formerly Burma),54409800,653290,83
0b0944285d,might have to go back much earlier than expected. bye bye bay area,neutral,night,70-100,Namibia,2540905,8.23E+05,3
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,morning,0-20,Nauru,10824,20,541
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,noon,21-30,Nepal,29136808,143350,203
4a65010643, riley hacked my twitter!  hahaha :],neutral,night,31-45,Netherlands,17134872,33720,508
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,morning,46-60,New Zealand,4822233,263310,18
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,noon,60-70,Nicaragua,6624554,120340,55
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,night,70-100,Niger,24206644,1266700,19
b3eadfc565," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive,morning,0-20,Nigeria,206139589,910770,226
480894125b, you`re the absoute best,positive,noon,21-30,North Korea,25778816,120410,214
001617fca4,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral,night,31-45,North Macedonia,2083374,25220,83
52f2f23473,My near daily exercise is starting to show results.,neutral,morning,46-60,Norway,5421241,3.65E+05,15
e7e27b0c91, Welcome!,positive,noon,60-70,Oman,5106626,309500,16
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,neutral,night,70-100,Pakistan,220892340,770880,287
aeb0e9d730,: you get to go home and i have to go to work,neutral,morning,0-20,Palau,18094,460,39
c672c9da1d,voted for  on CMT.com,neutral,noon,21-30,Palestine State,5101414,6020,847
cbee1946d3,"just got home from a nice party, just not tired yet",positive,night,31-45,Panama,4314767,74340,58
b1999f0951,Now I have a sunburn,negative,morning,46-60,Papua New Guinea,8947024,452860,20
25510fbf89,I have the Job  this is a nice day it can not be better,positive,noon,60-70,Paraguay,7132538,397300,18
bcb9426abb,I wish I could go to #BEA this weekend.,positive,night,70-100,Peru,32971854,1280000,26
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral,morning,0-20,Philippines,109581078,298170,368
3f0f5891ab, love your books,positive,noon,21-30,Poland,37846611,3.06E+05,124
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,night,31-45,Portugal,10196709,91590,111
11de8c0456,Im Slowing on My Tweets..Cuase I Lost My Phone,negative,morning,46-60,Qatar,2881053,11610,248
d5712716e9, well thank your phone for me.,positive,noon,60-70,Romania,19237691,230170,84
3f90f95beb, why would they take a photo with stuffed animals?! that`s pretty funny,positive,night,70-100,Russia,145934462,16376870,9
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,morning,0-20,Rwanda,12952218,24670,525
7223fdccc2,tikcets are only ï¿½91...each...BUT I SO WANT TO GO,positive,noon,21-30,Saint Kitts and Nevis,53199,260,205
f254748cdb, Happy Mothers Day,positive,night,31-45,Saint Lucia,183627,610,301
256453d14f, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative,morning,46-60,Saint Vincent and the Grenadines,110940,390,284
8fd01857a9,is dreaming of the weekend... awake!,neutral,noon,60-70,Samoa,198414,2830,70
37227c0dbf,"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",negative,night,70-100,San Marino,33931,6.00E+01,566
20aff2fcb1, yay but you missed naptime,neutral,morning,0-20,Sao Tome and Principe,219159,960,228
ca223af36e,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",positive,noon,21-30,Saudi Arabia,34813871,2149690,16
90977e9614,just set up a new computer again. 15min. I love Norton Ghost.,positive,night,31-45,Senegal,16743927,192530,87
433b1ab9ea,Ahhh my mommie got me new sheets for my bed  so comfy,positive,morning,46-60,Serbia,8737371,87460,100
37771d1bc1,_celeste  finally some sleep in silence,neutral,noon,60-70,Seychelles,98347,460,214
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,night,70-100,Sierra Leone,7976983,72180,111
14760477ad,is pretty dang tired. but chambers class is for napping.,negative,morning,0-20,Singapore,5850342,700,8358
da908a6635,i have to poop...   is hogging the shitter,negative,noon,21-30,Slovakia,5459642,48088,114
2053a455e9,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral,night,31-45,Slovenia,2078938,20140,103
1ea547383b,Happy muthath`s day to all moms!!! I salute you!,positive,morning,46-60,Solomon Islands,686884,2.80E+04,25
6634c62acf,Hahaha! Alright  ..,positive,noon,60-70,Somalia,15893222,627340,25
c7240790da, Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,positive,night,70-100,South Africa,59308690,1213090,49
08ede23635, good to know   thanks,positive,morning,0-20,South Korea,51269185,97230,527
4e87dcff0e, what are you? flavor of the day?,neutral,noon,21-30,South Sudan,11193725,610952,18
4b0b53bc98,weathers let me down this morning...ugh!...hada gd nite tho!,neutral,night,31-45,Spain,46754778,498800,94
fd3a622954,Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,neutral,morning,46-60,Sri Lanka,21413249,62710,341
e34af4fd97," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive,noon,60-70,Sudan,43849260,1765048,25
0e8aa10a4e, that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,positive,night,70-100,Suriname,586632,156000,4
29148dc95c, oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive,morning,0-20,Sweden,10099265,410340,25
56a15cf6ca,"hate working when its sunny,boohoo",negative,noon,21-30,Switzerland,8654622,3.95E+04,219
b99969c2fb,is ONLiNE  http://plurk.com/p/stjdg,neutral,night,31-45,Syria,17500658,183630,95
b0f3142cb4,bundy. in 3 days.!!!! warm weather here i come!,neutral,morning,46-60,Tajikistan,9537645,139960,68
5ff525b74b,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative,noon,60-70,Tanzania,59734218,885800,67
4fd80e66e0,a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,neutral,night,70-100,Thailand,69799978,510890,137
e77a8f8f2d,Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,negative,morning,0-20,Timor-Leste,1318445,14870,89
4ea7102112,_chick haha. I completely agree,positive,noon,21-30,Togo,8278724,54390,152
6a14956779,"If we don`t pack, she can`t leave, right?",neutral,night,31-45,Tonga,105695,720,147
7c2fcb712e, ****  lol....where u headed to?,neutral,morning,46-60,Trinidad and Tobago,1399488,5130,273
cdd172d6a7,Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive,noon,60-70,Tunisia,11818619,155360,76
d2a21b3cb7," many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative,night,70-100,Turkey,84339067,7.70E+05,110
799e17e7a7,it`s nice to leave the office when the sun is still up,positive,morning,0-20,Turkmenistan,6031200,469930,13
0a49cdbdf6,I will miss the soccer moms,negative,noon,21-30,Tuvalu,11792,30,393
4a13c1093d," between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",neutral,night,31-45,Uganda,45741007,199810,229
9407ce6ccc, *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,neutral,morning,46-60,Ukraine,43733762,579320,75
820f19ca44,"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral,noon,60-70,United Arab Emirates,9890402,83600,118
683bb73c09, --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,neutral,night,70-100,United Kingdom,67886011,241930,281
0d14593b11,looking forward to body works today,neutral,morning,0-20,United States of America,331002651,9147420,36
9ac13b3739,just watched yes man. bahaha. that movie is messed up,negative,noon,21-30,Uruguay,3473730,175020,20
16ee71e6df, Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative,night,31-45,Uzbekistan,33469203,425400,79
f5d47f04f5," Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative,morning,46-60,Vanuatu,307145,1.22E+04,25
e131c496a2,Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,neutral,noon,60-70,Venezuela,28435940,882050,32
bc6d7b4364,Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative,night,70-100,Vietnam,97338579,310070,314
c87be630b5, Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,neutral,morning,0-20,Yemen,29825964,527970,56
e4ad1684bb, glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive,noon,21-30,Zambia,18383955,743390,25
f7835156a5, woot!,positive,night,31-45,Zimbabwe,14862924,386850,38
03bb148b87,"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral,morning,46-60,Afghanistan,38928346,652860,60
b47c430fda, ???    ?????? - http://bit.ly/nAcK2,neutral,noon,60-70,Albania,2877797,27400,105
0234e16010,"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",neutral,night,70-100,Algeria,43851044,2381740,18
be9ed19513,Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,positive,morning,0-20,Andorra,77265,470,164
bf7240df91,Must head back to the office,neutral,noon,21-30,Angola,32866272,1246700,26
2f883c6eb1,St joe is dirty.,negative,night,31-45,Antigua and Barbuda,97929,440,223
a1320a5050,http://twitpic.com/4w67k - Camping at black butte lake,neutral,morning,46-60,Argentina,45195774,2736690,17
d72a60bee8," are you getting my messages or do you have to add me to recieve them, soz I`m new to this",neutral,noon,60-70,Armenia,2963243,28470,104
bc9ebe0002,I hate my life,negative,night,70-100,Australia,25499884,7682300,3
64ddc1f8a2,sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,negative,morning,0-20,Austria,9006398,8.24E+04,109
03f6b8d900, ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,negative,noon,21-30,Azerbaijan,10139177,82658,123
2d475b1b23,just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,negative,night,31-45,Bahamas,393244,10010,39
87473f5175,crying real tears,negative,morning,46-60,Bahrain,1701575,760,2239
7a09871d21,_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,neutral,noon,60-70,Bangladesh,164689383,130170,1265
96ec2855e4, Panchito`s burfday party tonight... wish you were here kiddo!,positive,night,70-100,Barbados,287375,430,668
45cf9ba329,Back from town and my Mac crashed on me  but it`s better now,neutral,morning,0-20,Belarus,9449323,202910,47
bab68144cd,ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,neutral,noon,21-30,Belgium,11589623,30280,383
fc49e426f5,the best things in life are free  x,positive,night,31-45,Belize,397628,22810,17
a172818c9e,misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,positive,morning,46-60,Benin,12123200,112760,108
036191bb61,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,negative,noon,60-70,Bhutan,771608,3.81E+04,20
3ef85c201c, that is a bummer,negative,night,70-100,Bolivia,11673021,1083300,11
ea348ea738, He is the truth! But what about Maxwell? You can`t forget the future father of my children!,neutral,morning,0-20,Bosnia and Herzegovina,3280819,51000,64
fd10f463c9,http://twitpic.com/665jw The racoons ate our bread!,negative,noon,21-30,Botswana,2351627,566730,4
e6e02e1be6,Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,positive,night,31-45,Brazil,212559417,8358140,25
8112c62d00,"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",neutral,morning,46-60,Brunei,437479,5270,83
0f89951346,No launch today. Teacher changed plans and we watched a stupid move about tesla,negative,noon,60-70,Bulgaria,6948445,108560,64
f3ec0395b0,  it`s very pleasant. i sooo rarely just have time to kill...,positive,night,70-100,Burkina Faso,20903273,273600,76
37ffa83550, thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,positive,morning,0-20,Burundi,11890784,25680,463
cb8c730261,__O lol but tiz a good song,positive,noon,21-30,C�te d'Ivoire,26378274,318000,83
be33b5cb9a,Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,neutral,night,31-45,Cabo Verde,555987,4.03E+03,138
4fed31099f,"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",negative,morning,46-60,Cambodia,16718965,176520,95
de288eb45b, what causes the frustration buddy?,neutral,noon,60-70,Cameroon,26545863,472710,56
7ab82d9fda,_Wright THANK YOU! 'Return of the Mack' is THE jam!,positive,night,70-100,Canada,37742154,9093510,4
9d8a45d308,Ready for this saddenning depressing dullful upsetting dreadful weekend.,negative,morning,0-20,Central African Republic,4829767,622980,8
d25c4179f6,sorry for my lack of tweets  ive been buzy. new vid this saturday!!,negative,noon,21-30,Chad,16425864,1259200,13
6cd35dd82e," I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",positive,night,31-45,Chile,19116201,743532,26
65275b51e2,going to bed  cant take thiss any longeerr maan. [U],negative,morning,46-60,China,1439323776,9388211,153
9fae9e3145,_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,positive,noon,60-70,Colombia,50882891,1109500,46
e515132ae4, Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,neutral,night,70-100,Comoros,869601,1861,467
df3c7485ae,Spent the last hour signing yearbooks. I`ll miss you guys!,negative,morning,0-20,Congo (Congo-Brazzaville),5518087,3.42E+05,16
